id,user_description,user_location,coordinates,text,geo,user_name,user_created,user_followers,id_str,created,retweet_count,user_bg_color,polarity,subjectivity
1,He doesn't carry bricks|为了恶心大家看见就上去咬一口|Jazz Junkie|Gastropub|He trolls everyone randomly|zh-US|Deutsch|stock option by brute force|Bloomberg二手知识贩子|吸小熊猫都是不挣钱的时候,LONG VIX BUY PUT .com,,你们要是把Fed发给你们的$1200去买了 $SPY 280 Call...,,luogl,2008-08-11T03:00:54,5720,1258494457206280197,2020-05-07T20:30:34,0,FFFFFF,0.0,0.0
2,I'm a Millennial in my early thirty's. All my tweets are only for educational purposes perform your own due diligence.,united states,,Ended the day with $532.50 Trading SP500 and NQ Futures Consistency is key 😃 https://t.co/aEc0KVNfCq… #Daytrade… https://t.co/w69OlhM0YP,,mvc_club,2019-12-15T03:23:33,8,1258494482120691724,2020-05-07T20:30:40,0,F5F8FA,0.0,1.0
3,Harnessing the power of Neural Networks to predict critical prices in the Stock Market!,United States,,$GLD https://t.co/T4NoYPGBri https://t.co/Ugs6V7b4vr,,stockcharttrade,2015-11-12T16:54:45,1485,1258494490001752065,2020-05-07T20:30:42,0,C0DEED,0.0,0.0
4,なんちゃって渋谷系。,札幌市中央区,,"$VIX は反落し31.44。
期間構造もようやく月次レベルで上凸が見られる展開。
頂点は6月限。いずれにせよ水平も順行もまだ遠そうですが。 https://t.co/wFpiV03TyH",,cmnt1,2009-08-07T19:39:41,165,1258494492094562305,2020-05-07T20:30:43,0,000000,0.0,0.0
5,"Professional Trader, Sunraq Capital: https://t.co/6Fqr4tLQKC | Series 7 Candidate | Athlete: https://t.co/3XdLlqGmiP | Liberty Advocate: https://t.co/jfFAw8fFit | Former Lieutenant, USMC","Ramona, CA",,#Gold moved greatly today. I capitalized exceptionally because I own a ton of mining stocks. This bull run is just… https://t.co/3L5zRsUDRL,,ChrisNawojczyk,2010-02-23T22:18:39,1244,1258494547320909824,2020-05-07T20:30:56,0,000000,0.688888888888889,0.9166666666666666
6,Harnessing the power of Neural Networks to predict critical prices in the Stock Market!,United States,,$TLT https://t.co/PTdcENLtSu https://t.co/V1Szm2XIrp,,stockcharttrade,2015-11-12T16:54:45,1485,1258494574944833538,2020-05-07T20:31:03,0,C0DEED,0.0,0.0
7,"Panamanian. Married to La Yuya. Will often tweet in Spanish. Weekly core allocation as pinned tweet. Ex-broker, ex-trader, ex-risk & many other things.",Panama,,"Chop, pain. $GLD https://t.co/YadBxzM8Yy",,Charlie_Ledezma,2014-08-23T16:40:20,822,1258495337381142534,2020-05-07T20:34:04,0,1A1B1F,0.0,0.0
8,"Quant, systematic option trader, skew affiaciando, kurtosis owner, $SKEW denier, $VIX contango dancer. Frontrunning your call overwriting strategy since 2009.",Manhattan & London ,,"Cheap insurance trade, note the broken fly wings",,Mephisto731,2020-03-15T17:47:03,265,1258495390212591617,2020-05-07T20:34:17,0,F5F8FA,0.26666666666666666,0.6666666666666666
9,I dance in the wind and excite the masses!,,,$NOVN just beginning. $1.00+ coming fast $xrp $btc $spy $aapl $amzn $tsla $msft $goog $ba $fb $amd $v $qcom $nflx… https://t.co/Dtn9Zds1GD,,Elias90sbabe,2017-06-13T15:40:20,173,1258495599617478659,2020-05-07T20:35:07,0,F5F8FA,0.2,0.6
10,Politics and Religions thrive on the premise of Artificial Scarcity. Livingry --Technologically reform the environment instead of politically reforming people.,"Washington, DC",,@BobPisani @Nasdaq @CNBC @CNBCClosingBell I am collecting easy CASH flow ... $SPY $DIA $QQQ thanks @realDonaldTrump https://t.co/h7VLU4SZlc,,Asherma123,2015-06-14T23:40:57,0,1258495604663242765,2020-05-07T20:35:08,0,000000,0.31666666666666665,0.5166666666666667
11,"All my posts are pure Junk. you pick the best junk. don’t follow me, I’ll block",,,$SPY Don’t worry it won’t drop below this line of defense https://t.co/2l0kmj3FaZ,,10sma5,2020-03-24T02:36:17,1,1258495618886127635,2020-05-07T20:35:11,0,F5F8FA,0.0,0.0
