id,user_description,user_location,coordinates,text,geo,user_name,user_created,user_followers,id_str,created,retweet_count,user_bg_color,polarity,subjectivity
1,"Honest and sweet as honey, until.. NM. We gone make it.. 🌻🌻🌻🌻🌻 PERIOD! - This is 6ft+ so we good!- RTs ≠ endorsements",Everywhere,,Coronavirus Live Updates: Trump Administration Models Predict Near Doubling‼️ of Daily Death Toll by June https://t.co/K4Cm9EBy2O,,Tonyafo_rl,2019-05-06T16:32:33,104,1257348679209553922,2020-05-04T16:37:40,0,F5F8FA,0.07878787878787878,0.3
2,"Writer, Marketing Guru, Life-Coach, Branding Expert, Poem Author: My Thought To You. 🇺🇸 #MAGA #POTUS #KAG #WWG1WGA #REDPILL #QANON #QARMY #PROLIFE 🇺🇸","Rhode Island, USA",,"This is EXACTLY what @GovRaimondo is doing to #RhodeIsland senior citizens, allowing them to die without treatment.… https://t.co/q0ExQRif6o",,TruthSerum08,2012-01-30T02:47:59,2241,1257348679486394377,2020-05-04T16:37:40,0,C0DEED,0.25,0.25
3,Government & Politics Naturopath Medicine,,,@conservmillen @prageru We are being lie to. Poor Trump. Fire Dr Fauci. W.H.O. Deep State. Control. Data facts over… https://t.co/DhuDoMjxA2,,RaeJ03,2016-04-26T04:52:21,8,1257348679851221005,2020-05-04T16:37:40,0,F5F8FA,-0.2,0.5
4,Social worker,,,https://t.co/8hEWPCFhEr,,Ankon61552141,2020-04-11T07:39:46,16,1257348680241352704,2020-05-04T16:37:40,0,F5F8FA,0.0,0.0
5,,,,@mariasviews1 @jswillims21 @BuckSexton What does Trump have to do with this?,,DaleCrawfordHi7,2015-08-22T05:56:29,14,1257348680467853312,2020-05-04T16:37:40,0,C0DEED,0.0,0.0
6,"Ingeniero, liberal y vivo en Plaza Italia. Podcast ""Democracia en LSD""","Providencia, Chile",,Otros que hablan de abrir y volver a la normalidad 🙄,,dmimica,2008-06-24T21:48:19,28254,1257348681164107786,2020-05-04T16:37:40,0,C0DEED,0.0,0.0
7,"Love God My Family America
Pro Life #MAGA. Female
History and Genealogy are my  passions



A journey of a thousand miles begins with one step.Lao Tzu",USA,,@anonys Prove to me Pompeo and Trump are lieing! We all know the virus came from China and the wet market is a lie.… https://t.co/fMS30IbvvR,,mabh1832,2017-08-26T17:34:18,1586,1257348681285632001,2020-05-04T16:37:40,0,000000,-0.1,0.4
8,,,,@WhiteHouse @POTUS Although Democrats tried to do many dirty things but we still love Trump more than before. Trump 2020.😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,,Kevin11228851,2020-03-25T02:00:01,4,1257348681415655426,2020-05-04T16:37:40,0,F5F8FA,0.225,0.6
9,"Entreprenuer ;Veteran;student. I visit your profile prior to following. Takes time.. Pls NO PORN, Links, or Lists.  I block.","North Carolina, USA",,"@DemocracyInn @Hooplaoly Trump loving terrorists are murdering people in Trump's name!

He must go and we must impr… https://t.co/rWbPNnnVob",,JBTRUTHSEEKER,2012-07-06T22:30:08,1747,1257348682351087620,2020-05-04T16:37:40,0,C0DEED,0.75,0.95
10,"Looking for Light and Peace MS Warrior (most of the time), and trolls just get deleted to practice Free Speech on their own page😻",South,,I just rushed a donation to help Nancy Pelosi hold the House and make sure Trump is always held accountable. Join m… https://t.co/8yIRcZXV9M,,ATnDemocrat,2009-03-20T22:29:54,842,1257348682556506112,2020-05-04T16:37:40,0,642D8B,0.5,0.8888888888888888
